Title,Publisher,TV Format,MD5,Bankswitch Type,7800 Detected,7800 works,7800 plays through,notes
Blackjack,Atari,NTSC,b2761efb8a11fc59b00a3b9d78022ad6,2K,,,,
Blackjack,Atari ,PAL,ff7627207e8aa03730c35c735a82c26c,2K,,,,
Bloody Human Freeway,Activision ,NTSC,1086ff69f82b68d6776634f336fb4857,2K,,,,
Blueprint,CBS Electronics,NTSC,33d68c3cd74e5bc4cf0df3716c5848bc,F8,,,,
BMX Air Master,Atari,NTSC,968efc79d500dce52a906870a97358ab,F6,,,,
Bobby Is Going Home,CCE ,PAL,3cbdf71bb9fd261fbc433717f547d738,4K,,,,
Bogey Blaster,Telegames,NTSC,c59633dbebd926c150fb6d30b0576405,4K,,,,
Boggle,Atari ,NTSC,a5855d73d304d83ef07dde03e379619f,2K,,,,
Boing!,PD,NTSC,0e08cd2c5bcf11c6a7e5a009a7715b6a,4K,,,,
Boing!,First Star Software,NTSC,14c2548712099c220964d7f044c59fd9,4K,,,,
Boom Bang,Unknown,NTSC,a2aae759e4e76f85c8afec3b86529317,4K,,,,
Bowling,Atari,NTSC,c9b7afad3bfd922e006a6bfc1d4f3fe7,2K,,,,
Bowling,,PAL,4a1a0509bfc1015273a542dfe2040958,2K,,,,
Bowling,Atari ,PAL,f69bb58b815a6bdca548fa4d5e0d5a75,2K,,,,
Bowling,Atari,NTSC,a28d872fc50fa6b64eb35981d0f4bb8d,2K,,,,
Boxing,Activision,NTSC,c3ef5c4653212088eda54dc91d787870,2K,,,,
Boxing,Activision,NTSC,277cca62014fceebb46c549bac25a2e3,2K,,,,
Boxing,Atari ,PAL,2c45c3eb819a797237820a1816c532eb,2K,,,,
Brain Games,Atari,NTSC,1cca2197d95c5a41f2add49a13738055,2K,,,,
Brain Games,Atari,NTSC,cb9626517b440f099c0b6b27ca65142c,2K,,,,
Wall-Defender,Bomb ,PAL,372bddf113d088bc572f94e98d8249f5,4K,,,,
Breakout,Atari,NTSC,f34f08e5eb96e500e851a80be3277a56,2K,,,,
Breakout,Atari,NTSC,9a25b3cfe2bbb847b66a97282200cca2,2K,,,,
Frisco,Unknown,NTSC,e80a4026d29777c3c7993fbfaee8920f,4K,,,,
